Orthogroup	Acinetobacter_baumannii	Mycobacterium_tuberculosis
OG0000274		g1362.t1, g1645.t1, g1650.t1
OG0000275		g1481.t1, g1484.t1, g1485.t1
OG0000276		g1527.t1, g3006.t1, g3349.t1
OG0000277		g1663.t1, g3045.t1, g3520.t1
OG0000278		g1670.t1, g1729.t1, g3316.t1
OG0000279		g1702.t1, g1753.t1, g2938.t1
OG0000280		g1802.t1, g2576.t1, g2700.t1
OG0000281		g1890.t1, g1891.t1, g2111.t1
OG0000282		g1932.t1, g1996.t1, g3134.t1
OG0000283		g1988.t1, g1989.t1, g3182.t1
OG0000284		g2007.t1, g3077.t1, g3082.t1
OG0000285		g2016.t1, g2288.t1, g2782.t1
OG0000286		g2171.t1, g2472.t1, g3168.t1
OG0000287		g2197.t1, g2198.t1, g2630.t1
OG0000288		g2294.t1, g2730.t1, g3249.t1
OG0000289		g2379.t1, g2380.t1, g2530.t1
OG0000290		g2508.t1, g2509.t1, g2747.t1
OG0000291		g2642.t1, g2643.t1, g3528.t1
OG0000292		g2649.t1, g2650.t1, g3155.t1
OG0000293		g2692.t1, g2907.t1, g2910.t1
OG0000294		g3178.t1, g3219.t1, g3372.t1
OG0000295	g1.t1	g3374.t1
OG0000296	g3.t1	g558.t1
OG0000297	g5.t1	g1281.t1
OG0000298	g6.t1	g2682.t1
OG0000299	g7.t1	g2978.t1
OG0000300	g8.t1	g2977.t1
OG0000301	g9.t1	g6.t1
OG0000302	g10.t1	g872.t1
OG0000303	g11.t1	g799.t1
OG0000304	g105.t1, g13.t1	
OG0000305	g15.t1	g2556.t1
OG0000306	g16.t1	g793.t1
OG0000307	g21.t1	g2370.t1
OG0000308	g22.t1	g2374.t1
OG0000309	g24.t1	g3515.t1
OG0000310	g25.t1	g1425.t1
OG0000311	g26.t1	g2409.t1
OG0000312	g27.t1	g2408.t1
OG0000313	g29.t1	g64.t1
OG0000314	g31.t1	g520.t1
OG0000315	g32.t1	g2071.t1
OG0000316	g40.t1	g2973.t1
OG0000317	g42.t1	g2498.t1
OG0000318	g46.t1	g548.t1
OG0000319	g51.t1	g1370.t1
OG0000320	g52.t1	g1371.t1
OG0000321	g205.t1, g54.t1	
OG0000322	g284.t1, g58.t1	
OG0000323	g60.t1	g3295.t1
OG0000324	g61.t1	g939.t1
OG0000325	g62.t1	g938.t1
OG0000326	g63.t1	g457.t1
OG0000327	g65.t1	g1236.t1
OG0000328	g67.t1	g884.t1
OG0000329	g70.t1	g2410.t1
OG0000330	g78.t1	g1479.t1
OG0000331	g82.t1	g2960.t1
OG0000332	g83.t1	g2958.t1
OG0000333	g91.t1	g1639.t1
OG0000334	g96.t1	g1381.t1
OG0000335	g97.t1	g2183.t1
OG0000336	g98.t1	g2535.t1
OG0000337	g103.t1	g1597.t1
OG0000338	g108.t1	g848.t1
OG0000339	g109.t1, g428.t1	
OG0000340	g114.t1	g1153.t1
OG0000341	g119.t1	g2707.t1
OG0000342	g120.t1	g1817.t1
OG0000343	g126.t1, g161.t1	
OG0000344	g127.t1	g360.t1
OG0000345	g128.t1	g1426.t1
OG0000346	g130.t1	g1806.t1
OG0000347	g132.t1	g1439.t1
OG0000348	g133.t1	g1382.t1
OG0000349	g134.t1	g1574.t1
OG0000350	g135.t1	g2567.t1
OG0000351	g137.t1	g1643.t1
OG0000352	g141.t1, g378.t1	
OG0000353	g149.t1	g2186.t1
OG0000354	g151.t1	g1283.t1
OG0000355	g152.t1	g1282.t1
